,tenure,age,cardmon,Spend_Amount,cardten,cars,carvalue,commute,creddebt,debtinc,employ,equipten,income,internet,lntollmon,lnwiremon,longmon,region,reside,townsize,region_2,region_3,region_4,region_5,townsize_2.0,townsize_3.0,townsize_4.0,townsize_5.0,gender_1,agecat_3,agecat_4,agecat_5,agecat_6,empcat_2,empcat_3,empcat_4,empcat_5,retire_1,inccat_2,inccat_3,inccat_4,inccat_5,marital_1,homeown_1,hometype_2,hometype_3,hometype_4,carown_0,carown_1,cartype_0,cartype_1,commute_2,commute_3,commute_4,commute_5,commute_6,commute_7,commute_8,commute_9,commute_10,commutecar_1,polview_2,polview_3,polview_4,polview_5,polview_6,polview_7,card_2,card_3,card_4,card_5,cardtype_2,cardtype_3,cardtype_4,cardtenurecat_2,cardtenurecat_3,cardtenurecat_4,cardtenurecat_5,active_1,ebill_1,ln_Spend_Amount
tenure,1.0,0.6120137497145587,0.44676547043625664,0.0682424733095562,0.7242889101945023,0.0020751622525843256,0.20218638727760405,-0.0003092030261382021,0.14970600006294812,0.018607212159000432,0.5876773966162446,0.2821048208311472,0.23700293240505912,-0.10294567866932645,0.38103510400305146,0.24689814065299284,0.7161832693483382,0.005032686485919208,-0.10060449671391503,-0.029943917992762584,-0.012300413912070362,0.0207631085079412,-0.019862162790756123,0.011733838142764168,0.008777166901801843,-0.012604909763566699,-0.024570025098345046,-0.005662023657682626,-0.009465907811892228,-0.27129652339183624,-0.08817808596560535,0.21908795511176068,0.4147625653594941,-0.17054505794242883,0.00902891621438919,0.15394633173717442,0.4683306591791672,0.34675306706304865,-0.13405065123449228,0.03728875066781324,0.12993117354351283,0.17522880999781495,0.1698670239755257,0.08362916701283399,-0.08045183143201214,-0.0022793573351905334,0.02866156130511708,0.051137948334910206,-0.04612393431445029,-0.00936825529433434,0.006429184365250688,-0.0010884874882364321,0.011590596664905932,0.018995324700401956,-0.013599063850363998,-0.004161962238555457,-0.02168192387379523,0.0035656198999439535,-0.013031567405502827,0.001771868022611134,0.0016007490188271322,-0.0022440283436297643,-0.0030100856741799653,-0.03186436178566494,0.017412358035549552,0.015367700386836448,0.034035193470449525,-0.024361103816199735,0.015449231313171795,0.02994297555459372,-0.035054725207481964,0.014530288932489317,-0.003930688468795411,-0.006379753249054966,-0.4955661524811965,-0.2737695094059249,-0.06419624021301532,0.8018112133190748,-0.16062127528502096,-0.09511530112432609,0.055148424350257366
age,0.6120137497145587,1.0,0.2947741512046718,0.032520384489320736,0.4632347882606696,-0.008368060219532097,0.1757596942480202,0.0005066785285256527,0.14240062973632459,0.03903086445689694,0.7055151662165607,0.0915525392160985,0.20828641574685286,-0.12645828542594353,0.22440820627296265,0.1259207556022591,0.46866007996731823,-0.02652545488968158,-0.33833833739785285,-0.0753988160833071,0.001396322523248512,0.008553921774221627,-0.029300167819883552,-0.006444101288325908,0.006890591236466102,-0.013997724673534634,-0.04363470233242947,-0.03546928057712229,-0.010185912956126955,-0.4609944691530562,-0.1671695773382537,0.31318845639656456,0.725136040130555,-0.16920533973102045,0.06461522113432754,0.21384648998354194,0.5234618925854536,0.5675186183634663,-0.16106428411343449,0.0642033445897632,0.11544761597043807,0.15852587161241974,0.00303097168613744,-0.018264093420188574,0.009747420707784657,-0.03950162827654409,0.007334158038466856,0.15391574241235037,-0.12529557888290152,-0.007490919643770125,0.010519600697349495,0.0035883378824031168,0.019033935021197535,0.015405994060385463,-0.007877794564772028,0.008541620245034024,0.004231955045259228,-0.02178101394273815,-0.013506936583649631,0.022029398332269027,-0.013161730265959582,-0.0007139611935551873,-0.009944731399306184,-0.00478639875126841,-0.0007893663617532887,0.018141077479212637,0.027512664843623733,-0.0016629674616944012,0.010918407502640842,0.02327136434140859,-0.03460925259048858,-0.0028081607852384356,-0.00192465257858238,-0.0008881029840237898,-0.37994131839551265,-0.20372390904730364,-0.055370146484185395,0.6330913994680353,-0.23901144771925398,-0.12007796748067695,0.008690858743519096
cardmon,0.44676547043625664,0.2947741512046718,1.0,0.025903250516549375,0.8483785199664636,0.014236291635672298,0.14254809594789158,0.0054136551607699875,0.1036004988906628,0.012167179006994305,0.32112066010823953,0.14969159077360567,0.16496886710135972,-0.04449001802012772,0.2644441681648925,0.18243656402947997,0.41708603614308953,0.02129794287663288,-0.03534490348415579,-0.015165104456596844,-0.007250166507706456,0.01860333603688612,-0.021235586804610945,0.026872170757216495,-0.016055649599815664,-0.004486998054451472,0.008331731639089792,-0.014471288152163501,-0.022725688723300053,-0.15685055149012228,-0.06844578945224257,0.11594915041315255,0.20700823027077958,-0.13072139271136451,-0.002240620467443405,0.06389101136923336,0.2702304456003528,0.17424498070899375,-0.09853557558717611,0.025003300665749125,0.09357433118874676,0.121341954918026,0.09479908525386802,0.047981046786572286,-0.04426003267066977,0.007831087284894145,-0.015551292307488258,0.023867294760110385,-0.006869117876276178,-0.0009788992095731348,0.012527331227611916,-0.027633897236253528,-0.0005696875065829158,-0.005845839350962817,-0.012862630151450602,-0.007450230220810272,-0.004054662188112616,0.005410677887480751,-0.010551645078018179,0.023085783269792694,0.01007674551221062,-0.0037138913342094973,-0.010804409350474194,-0.013846923454787621,0.013266017640822934,0.0047819333227655525,0.014920104406960536,-0.0071970622284032015,0.0013617125122395023,0.0319412916207951,-0.01944134985141277,-0.007851360359082684,0.00038900866166480236,-0.012256311708502443,-0.1845572149986613,-0.15582163897806253,-0.10140248248753338,0.3775761242260697,-0.06479160835089535,-0.05135630781865916,0.009336426030941588
Spend_Amount,0.0682424733095562,0.032520384489320736,0.025903250516549375,1.0,0.04349618405555137,0.014794380089207191,0.30214782585857025,-0.013096574675493806,0.2332532843193249,0.015131516859382773,0.0825564464943241,0.08367896304272052,0.3550163068496508,0.07919718102701738,0.061839355439878584,0.06114694598854476,0.05116015029141043,0.039686904651106476,-0.0025947296289649535,-0.009469070849228335,-0.006548883273411531,0.011352658500370498,0.00803044610533067,0.025019242903155773,0.014878563109581196,-0.004317756744506907,-0.009708709695501838,-0.0033891109285795022,-0.06623297545093514,-0.02744065497710127,0.0520459085895463,0.11881808188625005,-0.07234707398176024,-0.01927229615566683,0.004096944606222619,0.038051291147517576,0.07077299541975082,-0.1581561663817635,-0.09648446912041037,0.08528478101315996,0.1803370013814755,0.23429827509391776,0.014211766690424192,0.07221037609019393,-0.0579476820076475,0.03408258895354502,-0.0027669454095239298,-0.13355646986826122,0.09875295048310535,-0.02610287848259762,0.014774167365241756,0.009499846293981748,0.00932911712655531,-0.02312865570646072,0.005409699553633783,-0.008099296959790326,-0.016498334571053312,0.00460062967172685,-0.006264298268781265,-0.010281324182430268,0.011929661791807048,0.009485728811516506,-0.017760870374441014,-0.03101255101778359,0.009429923576863317,0.03408475134693131,-0.007730616819536617,-0.11258089733421449,-0.11878318292098414,-0.06966914178330637,-0.0360556687120672,-0.009833665019007615,0.012704269870822228,-0.012876289630900194,-0.04863374218623367,-0.03788332336415386,0.02420234041270315,0.07115190516629631,-0.017691949590697358,0.03274815447021275,0.9100086337294703
cardten,0.7242889101945023,0.4632347882606696,0.8483785199664636,0.04349618405555137,1.0,0.014348804712156068,0.1656521986720231,0.0045762832076251024,0.12134080853277343,0.015838005438739124,0.4900829905869074,0.20575903872124857,0.19701442718327386,-0.08166172155367751,0.3613154829905891,0.23194172962859064,0.6437844539969536,0.02379429360560763,-0.08125841067280497,-0.017099829431662068,-0.00788661850623571,0.010979113052546315,-0.01686466707413118,0.029800533980160224,-0.012405842194658592,-0.005413978909760078,-0.0014146588718949831,-0.009108962780067632,-0.01858613593898789,-0.21867875729761577,-0.10938945443963204,0.1605486589985938,0.3376968189529587,-0.17460584394240045,-0.015043710901457865,0.090494651522221,0.4081300584566488,0.28776924596831144,-0.1374553455387003,0.031074799490003,0.10262237984799233,0.14917870109330206,0.12820873985057726,0.05938205171887078,-0.05627105966995688,-0.0009619026896489292,0.0023342045422929934,0.04814039964269943,-0.03293765811290929,-0.0010107694726152452,0.007468424215043377,-0.016237809289488602,0.00023623541243195982,-0.0013793964878935877,-0.008258877907919853,-0.004464844842878866,-0.014130061504730186,0.010615442014217564,-0.016392988572346417,0.012695348955088094,0.008882666737203528,-0.006561914214114375,-0.006107384793548125,-0.026481255801049486,0.02065647915469965,0.01258493605210061,0.03427845306343879,-0.012549539389383236,0.008365437790970705,0.031157974775562886,-0.01946053881019414,-0.002561596400110625,0.003853625063525978,-0.012752636861705104,-0.3051551593385557,-0.22895410789772816,-0.13839533091209683,0.5914511160806916,-0.10222137383151195,-0.08081559631493244,0.026041079903139145
cars,0.0020751622525843256,-0.008368060219532097,0.014236291635672298,0.014794380089207191,0.014348804712156068,1.0,0.24272996816178305,-0.5794640732850518,0.03811398173853524,0.02015442686627535,-0.00016614966855618392,-0.009824133971491506,0.04480679874015514,0.0023040193889213175,-0.009554716834199282,-0.02496535243624405,0.003101737629306729,0.01628049201654459,-0.023999874866453493,0.00350868477191262,-0.0023024981004749565,-0.01616493523214747,-0.0067413154204298675,0.0278438622381451,-0.021488394748071862,0.014911375138481165,0.005992595767767978,-0.002461330131932215,0.014402503733709066,0.000423977567691325,0.00612573608993805,0.029110643456395066,-0.029448338169924794,-0.007831722651935215,-0.0044942165434992375,0.015686847484411796,0.0026406375940058527,-0.037457194904948504,-0.00041684494723237943,0.00740371769232224,0.03212099099573984,0.03069096736386656,-0.006594420468004176,0.005209243498994633,-0.005177561328175523,-0.010183352098311733,-0.005355318154260686,0.04041633199934083,0.33827702666423703,0.15821037663374518,0.16954416325557564,-0.09511727328650513,-0.2137476327709351,-0.2852595318871651,-0.20293008491077094,-0.08521165602018788,-0.0895884609488996,-0.27997956594988277,-0.0528797545890353,-0.1580296913201249,0.6518766219765142,0.02171147502005146,0.01500139012115604,0.00676164027193698,-0.011250300312144444,-0.03359152607607411,0.008332708273370648,-0.012870981753147775,0.003205905037472496,0.030781383248782296,0.0011541832218953493,-0.00940600153823175,0.004836136590018057,0.0046963653632653,0.008600372115342772,-0.014243431997904754,-0.013180306463404243,0.0052555527706354506,-0.002567928966115258,-0.002073021009335322,0.018995253666135987
carvalue,0.20218638727760405,0.1757596942480202,0.14254809594789158,0.30214782585857025,0.1656521986720231,0.24272996816178305,1.0,-0.1349930301050039,0.5203464738760357,0.014134290533983329,0.29167430890740415,0.12825234560711785,0.8368401796799438,0.05533455000810336,0.16529970078162023,0.11683162332700442,0.16019703080532596,0.04019698916623824,-0.0696346643613884,0.001887172329007478,-0.024563951163832188,0.020570003280693406,-0.0035592355606602756,0.0338452378445261,-0.00048207684283023904,-0.00126048669875861,-0.007822054087259216,0.009385826819250027,-0.00735719728302906,-0.12670073180941974,0.07998644072962342,0.2673768824336334,-0.06089902144129482,-0.10808080471746809,-0.017478615345415262,0.11427234565804144,0.2548358310049922,-0.24181104468762782,-0.26648912459710883,0.08680039841122297,0.3517234004921661,0.651687440737068,0.006829805520746802,0.1292037424273718,-0.12253420485318553,0.018112227112155967,-0.035267587390626014,-0.20549880548004093,0.4316876500765101,0.05625452389117686,0.17279791745698544,-0.04799882541389816,-0.03607143499703956,-0.08359696822005268,-0.05158445970607302,-0.032799040875838445,-0.020043685424387007,-0.06026315143139482,-0.01952128952682368,-0.02664798802670812,0.20480875698871168,-0.026360469458169455,-0.014872551898316344,-0.013756200745872313,0.015662299390469866,0.03653103097058194,0.038363388680051624,-0.08487635286775148,-0.05366259959740936,0.1336551336891067,-0.07375817320036074,-0.020933764327869333,0.009372247925049319,-0.0043715087004319395,-0.13974786284073504,-0.07071645971900814,0.019934098428517823,0.2085729354994455,-0.059735466068136,0.03647890074466777,0.2934324742495122
commute,-0.0003092030261382021,0.0005066785285256527,0.0054136551607699875,-0.013096574675493806,0.0045762832076251024,-0.5794640732850518,-0.1349930301050039,1.0,-0.03600442679583333,-0.009964878366100936,-0.006915214964991384,0.010394232893847992,-0.025542505115157977,0.002303736741323369,0.001961839626672449,0.012105177388431325,0.006015320780336826,0.05738826324025449,0.02761740663867761,0.13563711010530113,-0.007709580791659733,0.015622950939961066,0.013419584000495319,0.03481201797081311,-0.02293064093546458,-0.006348156729694076,0.05363763711039845,0.10267128082357578,-0.01041591071999073,0.01130539468313752,-0.01889227352533074,0.003511526268139463,0.00036616178318357517,0.017424507578682347,0.001232282012422484,-0.017016295064485387,0.003361341850562024,0.015580993024522313,-0.01324515775235582,0.00042691635966337396,-0.005317798332923927,-0.017397617900610507,0.014027081925636717,0.018563937616676067,0.0018737813777773994,-0.00657648428871525,0.009997888254878844,-0.03521034879073127,-0.1918220877912092,-0.09487678539310812,-0.10003050402002975,-0.03649762143519759,0.00034685695953794865,0.13956533170498123,0.185198284579098,0.10317330066518116,0.15533266015322925,0.6639695211853107,0.155144112875146,0.4536057630159732,-0.6638644815953031,-0.007645192452706375,0.014117804672678085,-0.005578755362418593,-0.007158328293900231,0.00919189604309555,0.0024262505199989454,-0.0015605933608212855,0.006070367067308544,-0.007711503495235081,0.004537543650682528,0.004846569985483087,-0.0005417167587744396,-0.03345261282350502,-0.009286922511565043,0.013198865120013802,0.014262790228599529,-0.00892008975206091,0.013132259201722722,-0.0021995520261563926,-0.013899865539774446
creddebt,0.14970600006294812,0.14240062973632459,0.1036004988906628,0.2332532843193249,0.12134080853277343,0.03811398173853524,0.5203464738760357,-0.03600442679583333,1.0,0.462598112387306,0.22551383445328937,0.10335994151047516,0.6275776037551266,0.03625023127325941,0.13071963139064602,0.0888161048346038,0.12408035738509765,0.007582335075626081,-0.05160695090030756,-0.03922010340854962,-0.009498949084569571,0.00444549384958166,0.01534512409984267,-0.004433191911457058,0.0156225709704489,-0.015848186733399442,-0.021482401146097514,-0.018017900738093343,-0.006573839062527256,-0.09756006142078992,0.04016892421748036,0.18559270169131714,-0.016062678451986893,-0.08740753234808417,-0.0011760188274924593,0.08502812775444488,0.18491229902476147,-0.158139161960587,-0.1751788188538959,0.05321708137461285,0.2078482156384346,0.48505598422721824,-0.014971828572012338,0.0877094356477504,-0.08089510600077235,0.012631164823160509,-0.02091950925017244,-0.15765356465556335,0.14150778979434397,-0.021165729907510134,0.02976262272584625,0.01835206546625895,0.028342339300344115,-0.0521652615088253,0.0005266493297306411,-0.0007141292535821676,-0.014413738749989075,-0.021018335970071432,-0.020850624237746983,0.003964767628459111,0.03410322701622837,-0.0382417124493641,-0.0036792812885222464,-0.013736655033398161,0.0016647849658619495,0.0449943669261216,0.029479763611801758,-0.07035978150192902,-0.024411009714010213,0.08813594887290785,-0.05195326777969785,-0.016948444370901528,0.008618035566426095,0.01351926752734413,-0.1028038546811954,-0.06870236307158736,0.014020043787431198,0.15856426174448546,-0.049982458279241644,0.02774280859844741,0.22010183089926205
debtinc,0.018607212159000432,0.03903086445689694,0.012167179006994305,0.015131516859382773,0.015838005438739124,0.02015442686627535,0.014134290533983329,-0.009964878366100936,0.462598112387306,1.0,0.03180059983708135,0.011433448409846931,0.011585930898614986,-0.005324595802413097,0.01576953363977863,0.0066310149252422936,0.012265641205732971,-0.006780541994349449,-0.026232829560898504,-0.01954274443847905,-0.005462012669615778,0.00857364976271381,0.021400753899317,-0.024550429393721054,0.0010236942698065537,-0.025455974172381032,-0.024481400449587968,0.013139742286187204,0.004745840260109728,-0.0023099698748611304,-0.02539577236062093,0.02534723021000303,0.026750203040344766,0.002531109060330322,-0.006883162926388805,0.01211034180588921,0.021793201397905918,0.024039067541956317,0.015736660292409724,-0.006418505328617847,0.017620915902855826,-0.005490574299985052,-0.03837624917968031,-0.0013238568466138988,0.008001751810976341,0.008618791112178741,0.018271853749804556,-0.002438448157537941,0.00799321451554986,-0.012272820614126467,0.017560056670043345,0.0035408647178755094,-0.003096176193783573,-0.035538719368110545,-0.004528454829331844,0.00634046487803137,-0.02046054764490638,0.010193372796265789,-0.016879848488603452,0.006538171167146255,0.02855896567318702,-0.02755638807071482,0.02152297095944132,-0.011028122911678836,0.0052786082510182354,0.006761563376297997,0.0013274401436963003,-0.020198354933320773,-0.0046704236428114256,0.011234480135849942,0.006403953342773139,0.0034627634888504985,-0.006533648893831078,0.006193378754218077,-0.0030891758481961787,-0.02532880251549371,0.0200577935484184,0.01572423679780166,-0.0028522439642946562,-0.009065869771579242,0.017371291682607322
